instance family cp
mcs30_m2D_s30_AB01 0 63.815247
mcs30_m2D_s30_AB02 0 301.200653
mcs30_m2D_s30_AB03 0 41.887100
mcs30_m2D_s30_AB04 0 27.618622
mcs30_m2D_s30_AB05 0 27.920696
mcs30_m2D_s30_AB06 0 32.391762
mcs30_m2D_s30_AB07 0 385.479187
mcs30_m2D_s30_AB08 0 37.582729
mcs30_m2D_s30_AB09 0 40.242619
mcs30_m2D_s50_AB00 0 1000.000000
mcs30_m2D_s50_AB01 0 1000.000000
mcs30_m2D_s50_AB02 0 1000.000061
mcs30_m2D_s50_AB03 0 1000.000000
mcs30_m2D_s50_AB04 0 1000.000000
mcs30_m2D_s50_AB05 0 1000.000061
mcs30_m2D_s50_AB06 0 1000.000000
mcs30_m2D_s50_AB07 0 1000.000000
mcs30_m2D_s50_AB08 0 1000.000061
mcs30_m2D_s50_AB09 0 1000.000000
